p_id,sequence,p_pred,generator,rule,posterior,m_pred,correct,BayFold_pred,BayLOOCV_pred
1,01011110,1,bingo,"else_(conform_(x, 2), invert_(get_(x, 7)))",0.5463802936985079,1,True,0,0
1,10100000,1,bingo,"else_(conform_(x, 2), invert_(get_(x, 7)))",0.5463802936985079,1,True,1,1
1,11110010,0,bingo,"else_(conform_(x, 2), invert_(get_(x, 7)))",0.5463802936985079,1,False,0,0
1,10101000,1,bingo,"else_(conform_(x, 2), invert_(get_(x, 7)))",0.5463802936985079,1,True,1,1
1,11011001,0,bingo,"else_(conform_(x, 2), invert_(get_(x, 7)))",0.5463802936985079,0,True,0,0
1,10100110,1,bingo,"else_(conform_(x, 2), invert_(get_(x, 7)))",0.5463802936985079,1,True,1,1
1,01010101,0,bingo,"else_(conform_(x, 2), invert_(get_(x, 7)))",0.5463802936985079,0,True,0,0
1,00110110,0,bingo,"else_(conform_(x, 2), invert_(get_(x, 7)))",0.5463802936985079,1,False,1,0
1,10101011,0,bingo,"else_(conform_(x, 2), invert_(get_(x, 7)))",0.5463802936985079,0,True,0,0
1,11111010,1,bingo,"else_(conform_(x, 2), invert_(get_(x, 7)))",0.5463802936985079,1,True,0,0
1,00001101,0,bingo,"else_(conform_(x, 2), invert_(get_(x, 7)))",0.5463802936985079,0,True,1,1
1,10000101,0,bingo,"else_(conform_(x, 2), invert_(get_(x, 7)))",0.5463802936985079,0,True,1,1
1,00110101,1,bingo,"else_(conform_(x, 2), invert_(get_(x, 7)))",0.5463802936985079,0,False,0,0
1,10101010,1,bingo,"else_(conform_(x, 2), invert_(get_(x, 7)))",0.5463802936985079,1,True,1,1
1,01011101,0,bingo,"else_(conform_(x, 2), invert_(get_(x, 7)))",0.5463802936985079,0,True,0,0
1,10111111,1,bingo,"else_(conform_(x, 2), invert_(get_(x, 7)))",0.5463802936985079,1,True,0,0
1,01010000,1,bingo,"else_(conform_(x, 2), invert_(get_(x, 7)))",0.5463802936985079,1,True,1,1
1,01111111,1,bingo,"else_(conform_(x, 2), invert_(get_(x, 7)))",0.5463802936985079,1,True,0,0
2,01010010,1,analyst,"else_(balance_(x, 3), invert_(get_(x, 7)))",0.8162902390209006,1,True,1,1
2,01010101,0,analyst,"else_(balance_(x, 3), invert_(get_(x, 7)))",0.8162902390209006,0,True,0,0
2,11000110,1,analyst,"else_(balance_(x, 3), invert_(get_(x, 7)))",0.8162902390209006,1,True,1,1
2,10000000,1,analyst,"else_(balance_(x, 3), invert_(get_(x, 7)))",0.8162902390209006,1,True,1,1
2,10100000,1,analyst,"else_(balance_(x, 3), invert_(get_(x, 7)))",0.8162902390209006,1,True,0,0
2,10101000,1,analyst,"else_(balance_(x, 3), invert_(get_(x, 7)))",0.8162902390209006,1,True,1,1
2,10101010,0,analyst,"else_(balance_(x, 3), invert_(get_(x, 7)))",0.8162902390209006,1,False,1,1
2,11101010,1,analyst,"else_(balance_(x, 3), invert_(get_(x, 7)))",0.8162902390209006,1,True,1,1
2,11111010,0,analyst,"else_(balance_(x, 3), invert_(get_(x, 7)))",0.8162902390209006,0,True,1,1
2,10111111,0,analyst,"else_(balance_(x, 3), invert_(get_(x, 7)))",0.8162902390209006,0,True,0,0
2,11011001,0,analyst,"else_(balance_(x, 3), invert_(get_(x, 7)))",0.8162902390209006,0,True,0,0
2,10101011,0,analyst,"else_(balance_(x, 3), invert_(get_(x, 7)))",0.8162902390209006,0,True,0,0
2,00110101,0,analyst,"else_(balance_(x, 3), invert_(get_(x, 7)))",0.8162902390209006,0,True,0,0
2,10100110,1,analyst,"else_(balance_(x, 3), invert_(get_(x, 7)))",0.8162902390209006,1,True,1,1
2,11111101,0,analyst,"else_(balance_(x, 3), invert_(get_(x, 7)))",0.8162902390209006,0,True,1,1
2,11110010,1,analyst,"else_(balance_(x, 3), invert_(get_(x, 7)))",0.8162902390209006,1,True,1,1
2,11010000,1,analyst,"else_(balance_(x, 3), invert_(get_(x, 7)))",0.8162902390209006,1,True,1,1
2,01110010,1,analyst,"else_(balance_(x, 3), invert_(get_(x, 7)))",0.8162902390209006,1,True,1,1
3,11101010,1,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.2439671561641797,1,True,1,1
3,00110110,0,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.2439671561641797,1,False,1,1
3,01000101,1,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.2439671561641797,1,True,1,1
3,10000000,0,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.2439671561641797,0,True,1,1
3,10101111,1,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.2439671561641797,1,True,0,0
3,01110010,1,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.2439671561641797,1,True,1,1
3,11000110,1,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.2439671561641797,1,True,0,0
3,10100111,0,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.2439671561641797,1,False,0,0
3,01000001,0,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.2439671561641797,0,True,0,1
3,10111111,1,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.2439671561641797,1,True,1,1
3,01011110,0,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.2439671561641797,1,False,1,1
3,00001101,1,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.2439671561641797,1,True,1,1
3,01010010,1,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.2439671561641797,1,True,1,1
3,01011101,1,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.2439671561641797,1,True,0,1
3,10000101,0,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.2439671561641797,1,False,1,1
3,01010100,0,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.2439671561641797,1,False,1,1
3,01011111,1,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.2439671561641797,1,True,0,1
3,01010101,0,stock,"else_(patternCont_(x), else_(conform_(x, 3), '1'))",0.2439671561641797,0,True,0,0
4,10100110,1,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,False,1,1
4,11010010,1,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,1,True,1,1
4,10000001,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True,1,1
4,00101111,1,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,1,True,1,0
4,01010111,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True,0,0
4,01000001,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True,0,1
4,11000110,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True,0,0
4,10101011,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True,0,0
4,11000000,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True,1,1
4,01101010,1,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,False,1,1
4,01110010,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True,1,1
4,00001101,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True,1,1
4,11011111,1,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,1,True,0,0
4,10000101,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True,1,1
4,10000000,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True,1,1
4,01011101,1,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,False,1,1
4,01000101,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True,1,1
4,11011001,0,stock,"else_(patternCont_(x), else_(streak_(x, 4), '0'))",0.5073166984328501,0,True,1,1
5,11111010,0,bingo,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",0.7837870468089655,0,True,0,0
5,10100000,1,bingo,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",0.7837870468089655,1,True,1,1
5,01010010,1,bingo,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",0.7837870468089655,1,True,1,1
5,01001011,0,bingo,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",0.7837870468089655,0,True,0,0
5,01111111,0,bingo,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",0.7837870468089655,0,True,0,0
5,01010101,1,bingo,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",0.7837870468089655,0,False,0,0
5,01000000,1,bingo,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",0.7837870468089655,1,True,1,1
5,11001101,0,bingo,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",0.7837870468089655,0,True,0,0
5,01010000,1,bingo,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",0.7837870468089655,1,True,1,1
5,01011101,0,bingo,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",0.7837870468089655,0,True,0,0
5,00001101,1,bingo,"else_(patternCont_(x), else_(balance_(x, 4), get_(x, 7)))",0.7837870468089655,1,True,1,1
